gene_id	gene_name	ERR229537_Hco_A_REP1	ERR229538_Hco_A_REP2	ERR229539_Hco_A_REP3	ERR229540_Hco_M_REP1	ERR229541_Hco_M_REP2	ERR229542_Hco_M_REP3
HCON_00003180	HCON_00003180	0	0	0	0	0	0
HCON_00003190	HCON_00003190	182	167	254	4680.428	2834.918	4668.224
HCON_00003200	HCON_00003200	0	0	0	0	0	0
HCON_00003210	HCON_00003210	0	0	0	0	0	0
HCON_00003220	HCON_00003220	737	684	1145	17479.572	9896.081	13455.775
HCON_00003230	HCON_00003230	0	1	2	16.999	12.016	10
HCON_00003240	HCON_00003240	0	1	2	24	18	14
HCON_00003250	HCON_00003250	0	0	0	0	0	0
HCON_00003260	HCON_00003260	0	1	0	0	2	7
HCON_00003270	HCON_00003270	0	0	0	1	1	0
HCON_00003290	HCON_00003290	0	0	0	0	0	0
HCON_00003295	HCON_00003295	106	152	107	432	315	445
HCON_00003310	HCON_00003310	0	0	0	0	0	0
HCON_00003320	HCON_00003320	2.705	3.886	0	9.569	8.577	11.144
HCON_00003330	HCON_00003330	0	1	0	2	5	3
HCON_00003360	HCON_00003360	0	0	0	0	2	1
HCON_00003370	HCON_00003370	149	155	174	941	621	749
HCON_00003380	HCON_00003380	1351	946	2174	39751	25739	31260
HCON_00003390	HCON_00003390	3202	2252	5181	68982	38593	54777
HCON_00003395	HCON_00003395	0	0	1	12	16	24
HCON_00003400	HCON_00003400	362	493	320	59	57	47
HCON_00003410	HCON_00003410	4	2	5	2	1	1
HCON_00003415	HCON_00003415	409	517	378	56	47	50
HCON_00003420	HCON_00003420	518	675	479	46	56	46
HCON_00003430	HCON_00003430	497	592	399	142	180	180
HCON_00003440	HCON_00003440	174	216	179	51	43	43
HCON_00003450	HCON_00003450	1	4	1	3	3	4
HCON_00003460	HCON_00003460	0	1	0	2	2	0
HCON_00003470	HCON_00003470	337	419	310	134	119	141
HCON_00003480	HCON_00003480	0	1	1	329	473	467
HCON_00003490	HCON_00003490	0	0	0	0	0	0
HCON_00003500	HCON_00003500	0	0	1	462	579	562
HCON_00003510	HCON_00003510	0	0	6	1068	1304	1259
HCON_00003520	HCON_00003520	0	2	0	5	5	7
HCON_00003530	HCON_00003530	17.41	21.425	14.251	177.845	265.219	245.849
HCON_00003532	HCON_00003532	0	0	0	48	38	55
HCON_00003534	HCON_00003534	5	14	9	7	13	5
HCON_00003535	HCON_00003535	25.59	29.575	42.749	56.155	79.781	50.151
HCON_00003540	HCON_00003540	0	0	0	3	1	0
HCON_00003550	HCON_00003550	10	47	38	27	14	9
HCON_00003560	HCON_00003560	24	21	19	100	115	92
HCON_00003570	HCON_00003570	0	0	2	9	10	5
HCON_00003580	HCON_00003580	425	453	411	320	356	348
HCON_00003590	HCON_00003590	6	32	15	16	7	10
HCON_00003600	HCON_00003600	0	0	1	1	0	0
HCON_00003610	HCON_00003610	606	777	613	714	689	763
HCON_00003620	HCON_00003620	1	0	0	3	5	9
HCON_00003630	HCON_00003630	525	694	582	418	435	425
HCON_00003640	HCON_00003640	89	124	85	42	61	59
HCON_00003650	HCON_00003650	1	2	2	2	4	2
HCON_00003652	HCON_00003652	1	3	0	0	2	3
HCON_00003654	HCON_00003654	0	0	0	0	0	0
HCON_00003660	HCON_00003660	0	0	4	1	0	0
HCON_00003670	HCON_00003670	156	170	137	69	87	80
HCON_00003680	HCON_00003680	24	32	19	336	428	339
HCON_00003685	HCON_00003685	0	0	0	12	16	9
HCON_00003690	HCON_00003690	417	487	392	303	294	328
HCON_00003700	HCON_00003700	163	191	151	63	49	42
HCON_00003710	HCON_00003710	136	162	129	98	117	111
HCON_00003715	HCON_00003715	1	0	0	22	25	47
HCON_00003720	HCON_00003720	0	0	1	104	133	126
HCON_00003730	HCON_00003730	0	0	0	72	80	50
HCON_00003740	HCON_00003740	854	1080	768	107	125	115
HCON_00003750	HCON_00003750	442	529	397	715	701	720
HCON_00003760	HCON_00003760	217	320	261	160	160	182
HCON_00003770	HCON_00003770	16	17	30	39	19	24
HCON_00003780	HCON_00003780	0	0	1	2	0	0
HCON_00003790	HCON_00003790	14	9	11	41	28	39
HCON_00003795	HCON_00003795	1466	1840	1537	657	728	620
HCON_00003800	HCON_00003800	333	501	373	580	632	634
HCON_00003810	HCON_00003810	0	0	1	0	2	1
HCON_00003820	HCON_00003820	0	0	0	81	78	119
HCON_00003830	HCON_00003830	366	485	384	57	49	44
HCON_00003835	HCON_00003835	0	0	0	0	0	0
HCON_00003840	HCON_00003840	0	0	5	1479	1310	1720
HCON_00003850	HCON_00003850	300	329	254	110	102	104
HCON_00003860	HCON_00003860	740	871	656	124	132	163
HCON_00003870	HCON_00003870	152	169	147	47	60	64
HCON_00003880	HCON_00003880	83	92	83	42	37	29
